TAZ_ID,OLD_SHARED_NODE_ID,NEW_NODE_ID,KEEPER_TAZ_ID,OLD_OWNER_COUNT,NEW_NODE_DISTANCE_FT,NEW_NODE_MAJOR_LEVEL,NEW_NODE_OUTSIDE_GA,OUTSIDE_TAZ_LENGTH_FT,MIN_ANGLE_DEG,CROSSES_GSTDM,BOUNDARY_FALLBACK,REVIEW_WARNING
485,20437,812676,486,2,84.039,3.0,0,0.0,175.267,0,0,
1583,21439,999142,1818,2,118.86,4.0,0,16.836,107.068,0,0,
271,21812,993814,272,2,164.444,4.0,0,0.0,85.249,0,0,
225,21870,991636,226,2,146.826,4.0,0,7.992,177.788,0,0,
451,22293,1008553,452,2,113.127,4.0,0,0.0,142.684,0,0,
483,22589,83669,484,2,183.173,4.0,0,9.726,90.409,0,0,
470,22597,983434,473,2,131.034,4.0,0,0.0,98.459,0,0,
1517,22793,956940,1302,2,243.715,4.0,0,15.785,137.815,0,0,
1542,23311,806170,1550,2,620.682,3.0,0,0.0,91.28,0,0,
1527,23486,144189,1306,2,104.244,3.0,0,0.0,107.902,0,0,
437,24309,995154,274,2,167.803,4.0,0,11.357,93.217,0,0,
205,24582,992496,286,2,163.608,4.0,0,0.0,81.695,0,0,
43,24854,1271377,423,2,294.183,5.0,0,0.0,53.698,0,0,ANGLE_LT_70
480,25372,87179,478,2,351.374,4.0,0,0.0,112.998,0,0,
568,25451,985255,569,2,145.672,4.0,0,38.102,84.52,0,0,
901,25832,1448988,902,2,524.451,4.0,0,4.424,120.107,0,0,
1496,26416,140151,1494,2,24.482,4.0,0,2.438,45.429,0,0,ANGLE_LT_70
4411,28498,28499,4465,2,1877.777,4.0,0,18.339,69.35,0,0,ANGLE_LT_70
2662,29372,1016753,2661,2,132.37,3.0,0,13.524,180.0,0,0,
4945,32065,211496,4737,2,2217.253,4.0,0,0.0,105.792,0,0,
4778,32225,908643,4784,2,51.841,4.0,0,0.0,171.916,0,0,
4810,32245,416861,4812,2,1036.152,3.0,0,0.0,127.653,0,0,
4711,32347,961236,4712,2,348.169,4.0,0,1.603,53.067,0,0,ANGLE_LT_70
791,33425,889156,792,2,70.318,4.0,0,0.976,70.838,0,0,
785,33496,836369,797,2,256.208,3.0,0,4.319,84.023,0,0,
786,33533,888871,787,2,98.397,4.0,0,4.827,153.957,0,0,
772,33633,222576,799,2,3333.81,5.0,0,0.0,55.083,0,0,ANGLE_LT_70
4394,34647,417256,4395,2,597.538,4.0,0,7.303,73.796,0,0,
850,35075,1709700,854,2,465.826,4.0,0,8.118,73.369,0,0,
848,35086,1707502,851,2,2258.327,3.0,0,0.0,102.771,0,0,
848,35098,705016,855,2,460.102,4.0,0,3.052,80.501,0,0,
857,35101,1712192,856,2,2014.33,4.0,0,18.539,107.474,0,0,
823,35127,1152678,824,2,684.062,3.0,0,3.166,92.181,0,0,
838,35173,1705187,837,2,563.374,4.0,0,0.0,77.32,0,0,
826,35270,1444645,827,2,326.052,4.0,0,0.727,37.488,0,0,ANGLE_LT_70
829,35273,1648532,827,2,91.406,4.0,0,0.0,149.31,0,0,
846,35320,971389,857,2,6781.482,4.0,0,0.0,6.261,0,0,ANGLE_LT_70
868,35336,970767,858,2,543.152,3.0,0,12.822,121.352,0,0,
431,35748,927761,29,2,138.785,3.0,0,0.0,137.006,0,0,
29,35761,1572902,30,2,1087.27,4.0,0,0.0,83.152,0,0,
4636,35763,627626,4632,2,91.421,3.0,0,0.0,86.773,0,0,
873,35838,1635128,871,2,8378.239,5.0,0,2.732,13.881,0,0,ANGLE_LT_70
916,35927,438676,915,2,166.342,4.0,0,0.0,107.035,0,0,
1115,35974,411321,1116,2,25.504,4.0,0,0.0,42.799,0,0,ANGLE_LT_70
1115,35976,762146,1118,2,843.37,4.0,0,8.81,37.131,0,0,ANGLE_LT_70
870,35994,815607,856,2,5006.425,3.0,0,14.417,75.59,0,0,
868,36000,731341,870,2,571.297,4.0,0,4.955,115.168,0,0,
33,36095,991379,416,2,155.136,4.0,0,0.0,45.322,0,0,ANGLE_LT_70
34,36271,986643,35,2,137.457,4.0,0,11.456,33.436,0,0,ANGLE_LT_70
31,36348,639270,417,2,239.201,3.0,0,0.0,96.669,0,0,
30,36356,993590,418,2,107.819,3.0,0,0.0,89.347,0,0,
405,36646,1205318,406,2,82.863,4.0,0,0.0,76.707,0,0,
400,36825,36834,402,2,613.503,4.0,0,1116.07,111.94,0,1,OUTSIDE_TAZ_GT_200
36,36877,599992,424,2,202.507,4.0,0,13.628,74.155,1,0,GSTDM_CROSSING
423,37031,761513,424,2,251.103,4.0,0,11.169,51.353,0,0,ANGLE_LT_70
37,37115,1695675,423,2,71.53,4.0,0,0.0,111.36,0,0,
38,37371,1203348,43,2,159.375,4.0,0,0.0,105.644,0,0,
45,37707,37705,44,2,259.246,4.0,0,26.71,24.306,0,0,ANGLE_LT_70
1002,39698,749903,959,2,347.482,4.0,0,0.0,99.542,0,0,
1000,40057,1040932,955,2,102.998,3.0,0,0.0,76.13,0,0,
982,41791,989286,983,2,242.551,4.0,0,5.763,152.314,0,0,
981,42979,1544734,986,2,43.249,3.0,0,64.364,105.285,0,0,
949,43392,43390,989,2,240.599,5.0,0,0.0,76.307,0,0,
3126,43875,586760,3145,2,2369.253,4.0,0,2233.638,107.032,0,1,OUTSIDE_TAZ_GT_200
5699,44087,1011326,5698,2,2312.052,4.0,0,7.55,75.895,0,0,
715,44243,1654400,716,2,520.527,4.0,0,2.057,120.997,0,0,
5702,44325,1518620,5686,2,1617.065,4.0,0,10.267,85.876,0,0,
3111,44384,512380,3112,2,360.286,4.0,0,0.0,111.35,0,0,
3098,44452,246128,3096,2,149.7,3.0,0,0.0,176.034,0,0,
3095,44528,1592890,3097,2,184.172,4.0,0,0.0,85.815,0,0,
5567,44802,44803,5566,2,108.769,3.0,0,10.465,180.0,0,0,
5564,44838,249043,5565,2,178.231,3.0,0,128.557,57.836,0,0,ANGLE_LT_70
5566,44840,1025886,5564,2,234.078,3.0,0,0.0,123.425,0,0,
5560,44892,492686,5525,2,2491.213,4.0,0,0.0,180.0,0,0,
5549,44989,250109,5548,2,84.059,4.0,0,4.882,116.493,0,0,
5545,44990,250152,5547,2,437.868,5.0,0,0.0,180.0,0,0,
5541,45037,648308,5551,2,1311.362,5.0,0,2989.263,29.752,0,1,ANGLE_LT_70; OUTSIDE_TAZ_GT_200
5508,45076,505985,5526,2,76.442,3.0,0,0.0,73.154,0,0,
5500,45087,250649,5506,2,159.841,4.0,0,0.0,85.664,0,0,
3076,45144,416426,3132,2,878.459,3.0,0,0.0,132.154,0,0,
3076,45151,894730,3134,2,102.143,4.0,0,3.244,133.249,0,0,
3071,45207,1554907,3074,2,1776.815,4.0,0,32.104,149.913,0,0,
5534,45398,1009314,5533,2,197.091,4.0,0,0.0,179.192,0,0,
5477,45433,1008056,5476,2,95.995,4.0,0,0.0,169.485,0,0,
5471,45457,1710105,5493,2,384.76,4.0,0,0.0,103.307,0,0,
680,45820,786597,689,2,132.874,3.0,0,0.739,102.433,0,0,
731,46188,978552,736,2,81.665,4.0,0,5592.324,87.307,0,1,OUTSIDE_TAZ_GT_200
736,46417,1059740,745,2,117.77,3.0,0,0.0,73.486,0,0,
744,46628,977429,743,2,123.671,4.0,0,0.0,78.702,0,0,
734,46647,978203,744,2,135.178,4.0,0,7779.741,97.345,0,1,OUTSIDE_TAZ_GT_200
27,47048,760974,29,2,551.613,3.0,0,0.0,67.21,0,0,ANGLE_LT_70
743,47493,47494,746,2,505.76,4.0,0,0.0,77.804,0,0,
752,47969,543320,757,2,114.253,4.0,0,25.079,84.099,0,0,
695,48361,979988,708,2,65.274,4.0,0,0.0,58.381,0,0,ANGLE_LT_70
695,48374,1547668,694,2,86.84,4.0,0,0.0,90.355,0,0,
640,48475,1708395,638,2,261.886,4.0,0,1549.377,72.5,0,1,OUTSIDE_TAZ_GT_200
564,49198,49230,565,2,105.692,3.0,0,3.834,46.23,0,0,ANGLE_LT_70
570,49543,842187,569,2,382.512,4.0,0,578.661,142.964,0,1,OUTSIDE_TAZ_GT_200
568,49612,890666,566,2,288.254,4.0,0,9.69,100.699,0,0,
637,50591,1677614,650,2,355.138,4.0,0,0.0,97.307,0,0,
634,50769,633909,638,2,160.699,3.0,0,3.706,56.868,0,0,ANGLE_LT_70
635,51199,1720578,641,2,161.196,4.0,0,4.821,74.693,0,0,
592,51209,556514,593,2,361.23,4.0,0,0.0,64.426,0,0,ANGLE_LT_70
593,51355,1002869,624,2,162.196,4.0,0,0.0,70.669,0,0,
641,51411,1007336,594,2,102.605,4.0,0,19.242,127.744,0,0,
645,51754,1732967,647,2,147.005,4.0,0,33.555,132.176,0,0,
2009,52192,895498,2055,2,517.114,4.0,0,1.055,76.961,0,0,
26,52363,52361,418,2,313.401,4.0,0,2.823,58.667,0,0,ANGLE_LT_70
25,52368,993220,28,2,157.194,3.0,0,0.0,91.057,0,0,
24,52497,994698,430,2,503.319,3.0,0,6.316,98.684,1,0,GSTDM_CROSSING
752,52633,912972,753,2,583.278,4.0,0,3.371,74.78,0,0,
748,52705,1167926,751,2,149.577,4.0,0,0.0,95.813,0,0,
750,52746,978267,751,2,70.255,4.0,0,0.0,105.761,0,0,
557,53236,983593,515,2,114.15,4.0,0,0.0,58.167,0,0,ANGLE_LT_70
557,53271,53272,558,2,15.618,4.0,0,0.0,85.411,0,0,
427,53673,53624,429,2,558.06,4.0,0,0.0,62.157,0,0,ANGLE_LT_70
20,53750,994595,429,2,103.772,3.0,0,0.0,69.319,0,0,ANGLE_LT_70
428,53881,994803,429,2,160.645,4.0,0,2.67,139.569,0,0,
19,53943,1708665,20,2,45.322,5.0,0,0.849,95.017,0,0,
18,54284,1061930,390,2,108.661,3.0,0,5.903,157.304,1,0,GSTDM_CROSSING
16,54513,872578,17,2,112.457,4.0,0,2.224,79.087,0,0,
15,54557,992079,17,2,195.258,4.0,0,0.0,180.0,0,0,
520,55061,55528,521,2,213.464,3.0,0,11.215,71.385,0,0,
576,55856,1116379,577,2,198.196,3.0,0,79.027,31.88,0,0,ANGLE_LT_70
511,56815,1003061,578,2,91.004,4.0,0,2.825,35.991,0,0,ANGLE_LT_70
556,56909,1146039,554,2,16.839,3.0,0,25.625,82.419,0,0,
580,57413,1224725,579,2,209.586,4.0,0,0.991,84.966,0,0,
551,57429,1005058,579,2,116.07,4.0,0,0.0,73.756,0,0,
503,57579,1071870,504,2,150.999,4.0,0,0.0,74.736,0,0,
582,58437,1702742,583,2,366.062,4.0,0,0.0,137.657,0,0,
583,58622,1005582,584,2,452.299,3.0,0,0.0,160.863,0,0,
492,58847,58848,585,2,400.808,5.0,0,0.0,80.879,0,0,
554,59050,875811,555,2,275.197,4.0,0,0.0,143.709,0,0,
524,59251,634240,550,2,97.597,4.0,0,29.264,33.389,0,0,ANGLE_LT_70
550,59558,59559,551,2,211.116,5.0,0,4.042,65.939,0,0,ANGLE_LT_70
531,60830,890383,532,2,182.713,4.0,0,0.819,110.852,0,0,
496,61128,983495,497,2,212.957,3.0,0,0.0,120.011,0,0,
497,61342,1031643,498,2,100.189,4.0,0,0.0,111.993,0,0,
457,61982,1008941,458,2,42.612,4.0,0,44.225,52.848,0,0,ANGLE_LT_70
538,62506,62509,537,2,88.566,4.0,0,0.0,92.068,0,0,
545,62564,1116148,546,2,28.422,4.0,0,0.0,180.0,0,0,
459,62680,1004087,463,2,65.642,3.0,0,0.0,141.704,0,0,
454,62801,62800,455,2,185.006,4.0,0,19.478,180.0,0,0,
465,62928,875441,453,2,171.13,4.0,0,2.005,147.955,0,0,
542,63113,63114,668,2,431.654,4.0,0,9.559,70.204,0,0,
388,63795,1449795,53,3,174.935,4.0,0,0.0,180.0,0,0,
389,63795,1168555,53,3,382.015,4.0,0,8618.877,180.0,0,1,OUTSIDE_TAZ_GT_200
53,63809,563964,54,2,101.587,4.0,0,0.0,28.087,0,0,ANGLE_LT_70
386,64047,64046,387,2,179.965,4.0,0,0.711,110.283,0,0,
61,65408,65410,353,2,162.114,3.0,0,23.389,85.194,0,0,
351,65707,1166900,352,2,141.893,4.0,0,0.0,180.0,0,0,
332,68589,995335,333,2,83.266,4.0,0,0.0,89.145,0,0,
333,68677,1179787,346,2,54.75,4.0,0,0.0,35.606,0,0,ANGLE_LT_70
329,68691,994813,333,2,476.608,4.0,0,0.0,21.635,0,0,ANGLE_LT_70
349,69143,69147,347,2,126.07,4.0,0,144.24,168.581,0,0,
325,69780,1267169,1833,2,50.936,3.0,0,0.0,95.078,0,0,
1675,69981,555248,1831,2,483.233,4.0,0,539.742,180.0,0,1,OUTSIDE_TAZ_GT_200
313,70031,1226572,314,2,280.217,5.0,0,3.97,61.209,0,0,ANGLE_LT_70
145,71119,995873,146,2,122.415,5.0,0,0.0,36.861,0,0,ANGLE_LT_70
125,71371,71370,127,2,211.573,5.0,0,6.075,57.358,0,0,ANGLE_LT_70
127,71374,759830,126,2,30.382,4.0,0,4.179,74.12,0,0,
138,71481,71725,139,2,368.525,5.0,0,3.126,106.589,0,0,
383,72151,1188387,384,2,176.322,4.0,0,5.759,167.193,0,0,
658,73955,1220279,657,2,61.664,4.0,0,0.0,111.285,0,0,
105,74442,1356029,106,2,106.598,3.0,0,0.0,115.261,0,0,
106,74460,761276,107,2,81.607,3.0,0,0.0,110.72,0,0,
107,74466,997247,108,2,157.538,4.0,0,4.267,80.309,0,0,
540,75012,1056778,544,2,45.5,4.0,0,95.859,154.534,0,0,
543,75326,75328,541,2,571.785,4.0,0,0.0,80.981,0,0,
666,75591,1728491,667,2,253.276,4.0,0,12.738,153.303,0,0,
446,76411,760397,665,2,162.269,4.0,0,0.0,156.836,0,0,
444,76759,983441,443,2,84.859,4.0,0,2.887,84.468,0,0,
186,77453,1356194,185,2,66.334,5.0,0,0.0,71.351,0,0,
1703,78830,78832,1704,2,1683.926,5.0,0,1.73,61.161,0,0,ANGLE_LT_70
181,79166,760840,178,2,60.161,4.0,0,0.0,72.548,0,0,
177,79406,986403,176,2,28.296,4.0,0,13.312,131.279,0,0,
292,80779,986450,1786,2,67.757,4.0,0,0.0,154.692,0,0,
198,80849,993995,290,2,85.6,4.0,0,9.464,55.781,0,0,ANGLE_LT_70
619,82467,983894,607,2,135.072,4.0,0,5.879,147.552,0,0,
487,83374,83373,488,2,287.184,4.0,0,0.0,138.539,0,0,
467,83588,1004028,488,2,84.572,4.0,0,9.591,85.878,0,0,
609,83747,759737,610,2,60.69,4.0,0,16.499,180.0,0,0,
610,83791,1006686,611,2,136.79,4.0,0,0.0,77.383,0,0,
482,83966,1182541,483,2,54.918,4.0,0,11.947,92.304,0,0,
611,84085,1006872,612,2,260.873,4.0,0,0.0,73.3,0,0,
482,84104,1143070,611,2,174.242,4.0,0,15.036,36.318,0,0,ANGLE_LT_70
465,84168,1140526,466,2,168.105,4.0,0,16.195,151.255,0,0,
468,84840,1031549,482,2,91.931,4.0,0,11.416,84.916,0,0,
470,85192,85193,471,2,358.217,5.0,0,14.295,39.231,0,0,ANGLE_LT_70
613,85482,1006190,612,2,115.592,4.0,0,29.877,180.0,0,0,
1941,85919,965813,1954,2,187.402,4.0,0,0.0,126.215,0,0,
449,86175,86174,669,2,207.403,4.0,0,3.209,106.426,0,0,
450,86226,86227,669,2,265.39,4.0,0,0.0,67.063,0,0,ANGLE_LT_70
449,86250,1031761,450,2,40.141,4.0,0,19.719,51.229,0,0,ANGLE_LT_70
449,86355,1006598,477,2,221.476,4.0,0,1.461,48.377,0,0,ANGLE_LT_70
448,86443,760396,447,2,260.889,4.0,0,0.0,122.453,0,0,
448,86601,760904,478,2,112.228,4.0,0,8.482,91.266,0,0,
474,86898,983721,473,2,178.408,4.0,0,6.614,69.204,0,0,ANGLE_LT_70
445,87899,810873,442,2,73.315,4.0,0,0.0,88.284,0,0,
438,88223,1006803,478,2,424.13,4.0,0,0.0,96.103,0,0,
473,88760,88782,474,2,381.402,4.0,0,41.608,58.633,0,0,ANGLE_LT_70
445,89324,89325,443,2,86.858,4.0,0,0.0,91.084,0,0,
204,89789,89788,286,2,400.975,4.0,0,4.584,76.692,0,0,
204,89987,992449,205,2,66.287,4.0,0,0.0,84.104,0,0,
206,90086,90089,209,2,192.86,4.0,0,0.0,95.675,0,0,
193,90130,995947,199,2,87.382,3.0,0,0.0,180.0,0,0,
289,90160,996622,199,2,36.514,3.0,0,2.666,180.0,0,0,
202,90534,1449693,203,2,343.089,4.0,0,44.475,30.413,0,0,ANGLE_LT_70
208,91646,990710,281,2,211.134,4.0,0,2.156,104.553,0,0,
268,91722,991508,267,2,136.315,4.0,0,18.492,112.166,0,0,
271,91807,757108,278,2,236.534,4.0,0,0.0,90.341,0,0,
275,91948,757150,277,2,72.844,4.0,0,0.0,66.912,0,0,ANGLE_LT_70
276,91985,1285685,277,2,187.401,4.0,0,0.0,168.188,0,0,
1918,91995,1453796,1923,2,112.063,3.0,0,0.0,155.9,0,0,
2039,92037,1537085,2043,2,111.21,4.0,0,0.0,121.62,0,0,
5582,92111,666417,5583,2,214.069,4.0,0,0.0,82.701,0,0,
5599,92123,267232,5582,2,2970.863,4.0,0,0.0,126.385,0,0,
5612,92234,1026383,5611,2,717.623,3.0,0,3.38,85.651,0,0,
3194,92306,409497,3196,2,145.652,4.0,0,0.0,31.63,0,0,ANGLE_LT_70
3185,92324,1014328,3186,2,210.78,4.0,0,0.0,117.527,0,0,
3171,92372,1662815,3165,2,320.417,4.0,0,2.997,171.892,0,0,
3223,92410,92411,3222,2,619.699,4.0,0,9.456,54.563,0,0,ANGLE_LT_70
3224,92431,891214,3230,2,113.627,4.0,0,8.077,72.413,0,0,
3157,92449,1707305,3158,2,857.108,4.0,0,4.587,163.815,0,0,
3152,92521,410077,3151,2,306.098,4.0,0,3.562,93.108,0,0,
3155,92572,92573,3159,2,400.506,4.0,0,0.0,84.155,0,0,
5619,92680,678191,5633,2,581.838,3.0,0,18.188,47.106,0,0,ANGLE_LT_70
1916,92746,741320,1917,2,498.003,4.0,0,11.774,171.612,0,0,
5639,92837,410704,5647,2,372.536,4.0,0,0.0,158.258,0,0,
5641,92923,1607225,5640,2,214.201,4.0,0,4.573,90.435,0,0,
2544,93473,1567924,2503,2,84.682,4.0,0,132.51,79.343,0,0,
2430,93692,93525,2461,2,988.645,4.0,0,3676.853,146.865,0,1,OUTSIDE_TAZ_GT_200
1091,93992,622371,1110,2,40.131,5.0,0,0.0,161.48,0,0,
1093,94057,889234,1109,2,80.175,4.0,0,0.0,106.39,0,0,
1123,94157,1552216,1124,2,195.512,4.0,0,0.0,78.382,0,0,
1078,94235,886075,1123,2,464.681,4.0,0,0.0,157.672,0,0,
1105,94297,816942,1104,2,310.308,4.0,0,4.803,87.275,0,0,
1105,94333,287235,1124,2,1566.843,4.0,0,0.0,109.893,0,0,
1071,94357,972577,1070,2,58.797,4.0,0,0.0,72.287,0,0,
1071,94358,1571081,1065,2,25.647,4.0,0,19.622,72.378,0,0,
974,95699,984433,978,2,159.604,4.0,0,15.014,151.677,0,0,
976,95993,1042249,977,2,43.249,4.0,0,5.04,100.879,0,0,
1018,96158,979976,1019,2,294.279,4.0,0,0.0,168.412,0,0,
